Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great univeristy located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/Univerisity_of_California,_Santa_Barbara",https://web.physics.ucsbedu/~Women/image/ucsb-big.jpg
CMH,"A Catholic memorial high school located in Waukesha, Milwaukee.",43.002453,-88.220344,https://catholicmemorial.net,https://www.gannett-cdn.com/presto/2020/09/08/PMJS/553c6fca-ae4b-4ff8-8a0e-2668ac49583f-wcn_FP_Waukesha-Schools_7733.JPG
WIA,A total-care academy for international students who are attending American High Schools over Wisconsin.,43.035792,-88.060158,https://www.english.wiaedu.org,https://assets.biztimes.com/2021/12/Screen-Shot-2021-12-10-at-12.34.35-PM.png
Gold's Gym,"A very classical and great workout gym located in the north side of Goleta, near the UCSB.",34.440327,-119.835437,https://www.goldsgym.com/goleta-ca/,https://s3-media0.fl.yelpcdn.com/bphoto/ST6ZThQ6XfuQBSNzmLD_4Q/l.jpg
WingStop,A fast food restaurant located near the UCSB at the California coast.,34.413514,-119.855234,https://www.wingstop.com,https://lh5.googleusercontent.com/p/AF1QipOJkhPopycf85KK_UsM4yz_6o72ygSoiZegHSde=w408-h306-k-no
